w,dV/dw,V cum,dS/dw,S cum
3,0,0,0,0
3.077729863,0.001134469,2.23E-05,7.372117033,0.573033646
3.157473703,0.00884654,0.000357259,56.03556053,5.041524423
3.239283702,0.029055415,0.001808368,179.3940725,19.71775337
3.323213395,0.061975068,0.005575063,372.9827782,51.02208331
3.409317702,0.098395953,0.012495745,577.2178596,100.7230272
3.497652968,0.129172421,0.022621493,738.6234273,165.969524
3.588276996,0.150055637,0.035353701,836.365961,241.7643767
3.681249089,0.160929993,0.049889652,874.3227613,323.0519937
3.776630085,0.162028112,0.065365888,858.0565676,404.8942835
3.874482398,0.15481624,0.080926063,799.1583072,483.0937722
3.97487006,0.141211575,0.095827798,710.5217192,554.4213863
4.077858761,0.123144813,0.109465104,603.968013,616.6232677
4.183515895,0.102970285,0.121414121,492.266733,668.6347599
4.291910601,0.082945589,0.131474877,386.5205823,710.5315447
4.403113809,0.064759391,0.139661348,294.152701,743.2422685
4.517198286,0.049354222,0.146136552,218.5169625,768.171662
4.634238687,0.037497758,0.151178653,161.8292053,787.1122171
4.7543116,0.029534517,0.155161872,124.2430846,802.0304462
4.877495596,0.025482703,0.158509283,104.49093,814.9020565
5.003871284,0.025280779,0.161677867,101.0448809,827.6716728
5.13352136,0.028489022,0.165130662,110.9921231,842.06181
5.266530664,0.034545671,0.169295872,131.1894809,859.5112316
5.402986233,0.042864131,0.17455822,158.6682977,881.1624044
5.542977359,0.052698365,0.181236768,190.1446149,907.7809632
5.686595649,0.063328871,0.189566374,222.7303449,939.7691144
5.833935082,0.074087204,0.199695572,253.9870695,977.1914253
5.985092074,0.084346221,0.21168304,281.8543796,1019.795685
6.140165536,0.093545402,0.225496073,304.699936,1067.046559
6.299256944,0.10127283,0.241017245,321.5389712,1118.200647
6.462470404,0.107229193,0.258060444,331.8520211,1172.363364
6.629912717,0.111179278,0.276376031,335.386854,1228.521314
6.801693452,0.113078456,0.295667494,332.5008876,1285.638561
6.977925018,0.112952578,0.315613869,323.7425956,1342.692226
7.158722737,0.110883865,0.335875385,309.7867283,1398.700959
7.344204916,0.10709272,0.356114078,291.6387036,1452.794742
7.534492929,0.101809173,0.376009558,270.2482415,1504.219743
7.729711297,0.09529629,0.395263602,246.5714089,1552.355011
7.929987763,0.087862051,0.413614487,221.5944174,1596.735157
8.135453383,0.079794394,0.430843221,196.1645902,1637.040237
8.346242609,0.071374734,0.446775593,171.0344089,1673.092447
8.562493373,0.062871389,0.461286319,146.8529928,1704.849519
