,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
SAIEUS NLDFT ANALYSIS,,,,,,,3.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,4.007570e-007,1.144480e+001,2.638763e+001,,,9.838070e-005,2.947630e+000,8.839401e-001,
,,,,,,,3.077730e+000,1.039723e-003,2.046390e-005,6.756430e+000,1.336637e-001,,,1.581280e-006,2.281440e+001,3.007206e+001,,,2.212500e-004,5.887240e+000,1.978076e+000,
,,,,,,,3.157474e+000,8.542994e-003,3.224645e-004,5.411284e+001,2.962536e+000,,,4.628940e-006,3.419600e+001,3.573312e+001,,,3.720730e-004,8.790430e+000,3.302793e+000,
,,,,,,,3.239284e+000,2.647669e-002,1.655808e-003,1.634725e+002,1.128088e+001,,,1.013080e-005,4.553130e+001,4.163701e+001,,,5.563820e-004,1.165010e+001,4.888950e+000,
,,,,,,,3.323213e+000,5.314325e-002,5.070479e-003,3.198305e+002,3.164699e+001,,,1.993570e-005,5.692470e+001,4.914627e+001,,,7.857990e-004,1.451000e+001,6.804201e+000,
,,,,,,,3.409318e+000,8.486317e-002,1.106606e-002,4.978308e+002,6.723589e+001,,,9.163700e-005,6.837320e+001,6.652789e+001,,,1.062550e-003,1.734840e+001,9.018967e+000,
Two isotherms - Two corresponding kernels,,,,,,,3.497653e+000,1.095538e-001,1.971152e-002,6.264419e+002,1.172797e+002,,,3.825590e-004,7.948740e+001,7.750148e+001,,,2.035280e-003,2.424980e+001,1.588900e+001,
,,,,,,,3.588277e+000,1.265897e-001,3.047885e-002,7.055735e+002,1.779630e+002,,,3.090070e-003,8.899630e+001,8.836065e+001,,,3.281940e-003,3.010530e+001,2.285580e+001,
Sample (ID),,002-942-N2_full-NC00-800_2_P2 ,,,,,3.681249e+000,1.357457e-001,4.274166e-002,7.374980e+002,2.454319e+002,,,3.976060e-003,8.971610e+001,8.951935e+001,,,4.040230e-003,3.288110e+001,2.626353e+001,
,,,,,,,3.776630e+000,1.363708e-001,5.581858e-002,7.221825e+002,3.154801e+002,,,5.073020e-003,9.045910e+001,9.046322e+001,,,4.931660e-003,3.561730e+001,2.972889e+001,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,3.874482e+000,1.309364e-001,6.895916e-002,6.758911e+002,3.841888e+002,,,5.862790e-003,9.091180e+001,9.096883e+001,,,5.989990e-003,3.837160e+001,3.319364e+001,
,,,,,,,3.974870e+000,1.189304e-001,8.154349e-002,5.984117e+002,4.483347e+002,,,6.927750e-003,9.141100e+001,9.148177e+001,,,6.705200e-003,4.000150e+001,3.526367e+001,
Sample(ID2),,002-754-H2_full-NC00-800_2 ,,,,,4.077859e+000,1.026546e-001,9.297599e-002,5.034732e+002,5.051602e+002,,,7.889460e-003,9.180640e+001,9.189391e+001,,,7.647740e-003,4.195820e+001,3.767339e+001,
,,,,,,,4.183516e+000,8.409737e-002,1.028478e-001,4.020416e+002,5.529807e+002,,,8.931980e-003,9.218380e+001,9.223734e+001,,,8.673130e-003,4.386700e+001,3.997380e+001,
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291911e+000,6.514256e-002,1.109288e-001,3.035597e+002,5.911416e+002,,,9.941880e-003,9.250100e+001,9.254618e+001,,,9.805100e-003,4.576160e+001,4.222811e+001,
,,,,,,,4.403114e+000,4.722497e-002,1.171562e-001,2.145072e+002,6.198478e+002,,,1.975890e-002,9.431370e+001,9.438393e+001,,,1.951320e-002,5.680330e+001,5.493222e+001,
Lambda,,3.5,,,,,4.517198e+000,3.158730e-002,1.216209e-001,1.398535e+002,6.398867e+002,,,2.912010e-002,9.532910e+001,9.537048e+001,,,2.960060e-002,6.385190e+001,6.260908e+001,
,,,,,,,4.634239e+000,1.927270e-002,1.245411e-001,8.317526e+001,6.527614e+002,,,3.932000e-002,9.608190e+001,9.608706e+001,,,4.274640e-002,7.023780e+001,6.934454e+001,
St Dev of Fit,,2.7518961058155,,,,,4.754312e+000,1.000669e-002,1.262517e-001,4.209522e+001,6.600598e+002,,,4.800050e-002,9.662010e+001,9.655247e+001,,,5.047530e-002,7.323770e+001,7.236288e+001,
,,,,,,,4.877496e+000,4.584346e-003,1.271159e-001,1.879795e+001,6.636550e+002,,,5.777760e-002,9.708730e+001,9.700438e+001,,,6.159190e-002,7.677300e+001,7.599451e+001,
,,,,,,,5.003871e+000,1.778564e-003,1.274966e-001,7.108750e+000,6.651643e+002,,,6.943660e-002,9.752890e+001,9.737464e+001,,,6.995520e-002,7.907980e+001,7.827137e+001,
,,,,,,,5.133521e+000,5.331771e-004,1.276354e-001,2.077237e+000,6.657132e+002,,,7.986320e-002,9.789400e+001,9.766460e+001,,,7.995250e-002,8.147130e+001,8.065982e+001,
,,,,,,,5.266531e+000,0.000000e+000,1.276766e-001,0.000000e+000,6.658133e+002,,,8.977380e-002,9.816940e+001,9.790183e+001,,,8.987880e-002,8.358570e+001,8.273495e+001,
,,,,,,,5.402986e+000,0.000000e+000,1.276717e-001,0.000000e+000,6.657950e+002,,,9.984310e-002,9.841900e+001,9.814286e+001,,,9.992150e-002,8.549640e+001,8.461986e+001,
,,,,,,,5.542977e+000,7.969016e-005,1.276743e-001,2.875356e-001,6.658045e+002,,,1.442550e-001,9.912760e+001,9.883314e+001,,,1.495700e-001,9.263080e+001,9.177726e+001,
,,,,,,,5.686596e+000,7.424858e-004,1.277199e-001,2.611354e+000,6.660171e+002,,,1.980600e-001,9.968420e+001,9.939867e+001,,,2.013580e-001,9.781620e+001,9.707836e+001,
,,,,,,,5.833935e+000,2.397460e-003,1.279338e-001,8.219016e+000,6.667581e+002,,,2.494510e-001,1.000630e+002,9.979086e+001,,,2.529210e-001,1.017660e+002,1.012322e+002,
,,,,,,,5.985092e+000,5.306962e-003,1.285033e-001,1.773394e+001,6.686833e+002,,,2.997670e-001,1.003400e+002,1.000975e+002,,,3.043300e-001,1.049250e+002,1.045905e+002,
,,,,,,,6.140166e+000,9.062421e-003,1.296100e-001,2.951849e+001,6.723301e+002,,,3.494150e-001,1.005650e+002,1.003455e+002,,,3.534210e-001,1.074590e+002,1.073632e+002,
,,,,,,,6.299257e+000,1.331581e-002,1.313872e-001,4.227741e+001,6.780407e+002,,,3.992000e-001,1.007520e+002,1.005583e+002,,,4.008260e-001,1.095650e+002,1.097282e+002,
,,,,,,,6.462470e+000,1.772357e-002,1.339221e-001,5.485077e+001,6.859801e+002,,,4.491760e-001,1.009290e+002,1.007435e+002,,,4.504700e-001,1.114960e+002,1.119486e+002,
,,,,,,,6.629913e+000,2.198220e-002,1.372521e-001,6.631218e+001,6.961498e+002,,,4.990430e-001,1.010780e+002,1.009076e+002,,,5.007970e-001,1.132130e+002,1.139692e+002,
,,,,,,,6.801693e+000,2.581432e-002,1.413665e-001,7.590556e+001,7.083993e+002,,,5.491000e-001,1.012140e+002,1.010531e+002,,,5.505480e-001,1.147280e+002,1.157534e+002,
,,,,,,,6.977925e+000,2.899139e-002,1.462082e-001,8.309459e+001,7.224412e+002,,,5.994290e-001,1.013300e+002,1.011881e+002,,,6.007630e-001,1.160950e+002,1.174429e+002,
,,,,,,,7.158723e+000,3.132118e-002,1.516753e-001,8.750495e+001,7.379086e+002,,,6.491180e-001,1.014370e+002,1.013103e+002,,,6.507290e-001,1.173390e+002,1.189756e+002,
,,,,,,,7.344205e+000,3.269621e-002,1.576302e-001,8.903949e+001,7.543216e+002,,,6.992480e-001,1.015280e+002,1.014246e+002,,,7.002080e-001,1.184480e+002,1.203778e+002,
,,,,,,,7.534493e+000,3.316413e-002,1.639129e-001,8.803282e+001,7.712123e+002,,,7.492350e-001,1.016030e+002,1.015300e+002,,,7.504380e-001,1.194910e+002,1.217201e+002,
,,,,,,,7.729711e+000,3.268925e-002,1.703546e-001,8.458079e+001,7.880944e+002,,,7.555620e-001,1.017170e+002,1.015429e+002,,,8.009340e-001,1.204390e+002,1.229684e+002,
,,,,,,,7.929988e+000,3.142384e-002,1.767863e-001,7.925317e+001,8.045216e+002,,,7.601320e-001,1.017850e+002,1.015520e+002,,,9.873890e-001,1.232340e+002,1.270323e+002,
