,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3,0,0,0,0,,,3.47E-06,1.33E+01,33.37459495,,,9.70E-05,2.90E+00,0.899000451
,,,,,,,3.077729863,0.000981047,1.93E-05,6.375134314,0.495538316,,,2.12E-05,2.54E+01,40.18771608,,,2.22E-04,5.79E+00,2.04549678
,,,,,,,3.157473703,0.007650161,0.000308945,48.4574815,4.359723971,,,8.05E-05,3.75E+01,47.56239135,,,3.79E-04,8.69E+00,3.469401395
,,,,,,,3.239283702,0.025126189,0.001563811,155.1342263,17.05125492,,,2.86E-04,4.92E+01,54.93087946,,,5.75E-04,1.16E+01,5.209219197
,,,,,,,3.323213395,0.053609223,0.004821523,322.634851,44.12989881,,,8.58E-04,6.08E+01,60.17718002,,,8.18E-04,1.44E+01,7.295753847
,,,,,,,3.409317702,0.0851762,0.010810147,499.6671325,87.15339106,,,4.69E-03,7.13E+01,70.5197639,,,1.12E-03,1.72E+01,9.754531873
Two isotherms - Two corresponding kernels,,,,,,,3.497652968,0.111957035,0.019580782,640.1837811,143.7041955,,,4.79E-03,7.13E+01,70.62297547,,,2.06E-03,2.33E+01,16.54767378
,,,,,,,3.588276996,0.130290697,0.030625807,726.2020036,209.5155466,,,5.85E-03,7.19E+01,71.74164695,,,3.27E-03,2.86E+01,23.57256065
Sample (ID),,003-179-N2_full-SA0-300-800_1 ,,,,,3.681249089,0.140068944,0.043261805,760.985962,280.2660042,,,6.68E-03,7.23E+01,72.35458646,,,4.06E-03,3.12E+01,27.22192212
,,,,,,,3.776630085,0.141478685,0.056752684,749.2324216,351.7285386,,,7.76E-03,7.28E+01,72.97342233,,,4.90E-03,3.36E+01,30.61358081
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,3.874482398,0.135731474,0.070366004,700.6431315,420.2880895,,,8.86E-03,7.33E+01,73.5460639,,,6.00E-03,3.62E+01,34.33925531
,,,,,,,3.97487006,0.12441427,0.083461593,626.0042134,483.1311888,,,9.84E-03,7.36E+01,74.03099799,,,6.66E-03,3.76E+01,36.33812402
Sample(ID2),,002-822-H2_full-SA0-300-800_1 ,,,,,4.077858761,0.109114141,0.095509816,535.1540951,538.2460142,,,1.93E-02,7.55E+01,76.6317656,,,8.06E-03,4.02E+01,39.89342615
,,,,,,,4.183515895,0.09172928,0.106126219,438.52722,584.5795435,,,3.22E-02,7.71E+01,78.34149209,,,8.86E-03,4.16E+01,41.72554228
