,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
SAIEUS NLDFT ANALYSIS,,,,,,,3.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,4.750000e-007,1.427470e+001,4.309360e+001,,,1.111670e-004,2.818170e+000,1.284157e+000,
,,,,,,,3.077730e+000,1.432048e-003,2.818566e-005,9.305871e+000,1.840998e-001,,,1.520000e-006,2.858040e+001,4.802513e+001,,,2.397320e-004,5.646900e+000,2.754700e+000,
,,,,,,,3.157474e+000,1.180541e-002,4.436994e-004,7.477754e+001,4.157779e+000,,,3.540000e-006,4.283020e+001,5.368064e+001,,,3.838050e-004,8.424680e+000,4.379740e+000,
,,,,,,,3.239284e+000,3.644982e-002,2.280446e-003,2.250487e+002,1.561674e+001,,,6.660000e-006,5.712750e+001,6.015572e+001,,,5.492760e-004,1.119360e+001,6.211720e+000,
,,,,,,,3.323213e+000,7.204556e-002,6.978173e-003,4.335897e+002,4.349932e+001,,,1.160000e-005,7.134380e+001,6.949605e+001,,,7.344740e-004,1.391880e+001,8.210879e+000,
,,,,,,,3.409318e+000,1.139881e-001,1.508787e-002,6.686858e+002,9.163836e+001,,,1.750000e-005,8.551850e+001,7.941341e+001,,,9.438320e-004,1.662680e+001,1.040275e+001,
Two isotherms - Two corresponding kernels,,,,,,,3.497653e+000,1.432075e-001,2.654515e-002,8.188779e+002,1.579621e+002,,,2.440000e-005,9.989360e+001,9.272334e+001,,,1.180030e-003,1.932470e+001,1.277215e+001,
,,,,,,,3.588277e+000,1.599986e-001,4.038703e-002,8.917852e+002,2.359372e+002,,,3.220000e-005,1.142360e+002,1.130046e+002,,,2.035070e-003,2.716560e+001,2.049844e+001,
Sample (ID),,002-899-002-902-ACDS4800(PO) ,,,,,3.681249e+000,1.652311e-001,5.560062e-002,8.976904e+002,3.196477e+002,,,4.200000e-005,1.285280e+002,1.292518e+002,,,3.028000e-003,3.405640e+001,2.794244e+001,
,,,,,,,3.776630e+000,1.596726e-001,7.117671e-002,8.455824e+002,4.031797e+002,,,5.240000e-005,1.427520e+002,1.469799e+002,,,3.873800e-003,3.881900e+001,3.327497e+001,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.874482e+000,1.463874e-001,8.620468e-002,7.556487e+002,4.817646e+002,,,6.390000e-005,1.569720e+002,1.683302e+002,,,4.977490e-003,4.411580e+001,3.915870e+001,
,,,,,,,3.974870e+000,1.275605e-001,9.998626e-002,6.418346e+002,5.520195e+002,,,7.690000e-005,1.711670e+002,1.822341e+002,,,5.968370e-003,4.821230e+001,4.365922e+001,
Sample(ID2),,002-905-H2_full-ACDS4800(PO) ,,,,,4.077859e+000,1.058603e-001,1.120107e-001,5.191956e+002,6.118205e+002,,,9.210000e-005,1.854480e+002,1.956773e+002,,,6.754020e-003,5.113920e+001,4.686410e+001,
,,,,,,,4.183516e+000,8.341194e-002,1.219978e-001,3.987648e+002,6.602034e+002,,,1.110720e-004,1.997910e+002,2.080492e+002,,,7.765740e-003,5.455890e+001,5.057015e+001,
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.291911e+000,6.235868e-002,1.298752e-001,2.905870e+002,6.974062e+002,,,1.321770e-004,2.139900e+002,2.188183e+002,,,8.826310e-003,5.784370e+001,5.408311e+001,
,,,,,,,4.403114e+000,4.387333e-002,1.357482e-001,1.992832e+002,7.244894e+002,,,1.602990e-004,2.281950e+002,2.276581e+002,,,9.952690e-003,6.103330e+001,5.743170e+001,
Lambda,,4,,,,,4.517198e+000,2.894737e-002,1.398604e-001,1.281652e+002,7.429463e+002,,,1.962000e-004,2.424040e+002,2.383693e+002,,,1.947820e-002,8.110960e+001,7.789111e+001,
,,,,,,,4.634239e+000,1.821078e-002,1.425671e-001,7.859232e+001,7.548355e+002,,,2.488630e-004,2.567890e+002,2.485122e+002,,,3.029450e-002,9.614370e+001,9.304694e+001,
St Dev of Fit,,5.44605648194667,,,,,4.754312e+000,1.145117e-002,1.443000e-001,4.817174e+001,7.622261e+002,,,3.311490e-004,2.711560e+002,2.625582e+002,,,3.850900e-002,1.049920e+002,1.017502e+002,
,,,,,,,4.877496e+000,8.964276e-003,1.455164e-001,3.675770e+001,7.672807e+002,,,4.631890e-004,2.853100e+002,2.760428e+002,,,5.034100e-002,1.153660e+002,1.118726e+002,
,,,,,,,5.003871e+000,1.009487e-002,1.466857e-001,4.034822e+001,7.720319e+002,,,6.921780e-004,2.996060e+002,2.903861e+002,,,6.124620e-002,1.233240e+002,1.195509e+002,
,,,,,,,5.133521e+000,1.420526e-002,1.482328e-001,5.534314e+001,7.781322e+002,,,1.098200e-003,3.138310e+002,3.057374e+002,,,6.971270e-002,1.287100e+002,1.246730e+002,
,,,,,,,5.266531e+000,2.057358e-002,1.505305e-001,7.812953e+001,7.869522e+002,,,1.914790e-003,3.290880e+002,3.257235e+002,,,7.966960e-002,1.344770e+002,1.300558e+002,
,,,,,,,5.402986e+000,2.851815e-002,1.538705e-001,1.055644e+002,7.994661e+002,,,2.922460e-003,3.396350e+002,3.437578e+002,,,8.956990e-002,1.395290e+002,1.348400e+002,
,,,,,,,5.542977e+000,3.723005e-002,1.584692e-001,1.343323e+002,8.162626e+002,,,3.955480e-003,3.467920e+002,3.508816e+002,,,9.949770e-002,1.441890e+002,1.392249e+002,
,,,,,,,5.686596e+000,4.620596e-002,1.644641e-001,1.625083e+002,8.375909e+002,,,5.031350e-003,3.522480e+002,3.561132e+002,,,1.481590e-001,1.625340e+002,1.565004e+002,
,,,,,,,5.833935e+000,5.504477e-002,1.719312e-001,1.887055e+002,8.635086e+002,,,5.731980e-003,3.551100e+002,3.586437e+002,,,1.995750e-001,1.766650e+002,1.702736e+002,
