,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,3.30E-07,8.65E+00,2.63E+01,,,1.06E-04,3.10E+00,1.08E+00
,,,,,,,3.08E+00,1.62E-03,0.00E+00,1.05E+01,2.08E-01,,,1.78E-06,1.73E+01,2.92E+01,,,2.39E-04,6.17E+00,2.42E+00
,,,,,,,3.16E+00,1.34E-02,0.00E+00,8.47E+01,4.77E+00,,,4.36E-06,2.60E+01,3.20E+01,,,4.04E-04,9.24E+00,4.05E+00
,,,,,,,3.24E+00,4.11E-02,0.00E+00,2.54E+02,1.77E+01,,,8.02E-06,3.46E+01,3.54E+01,,,6.06E-04,1.23E+01,5.99E+00
,,,,,,,3.32E+00,8.03E-02,0.00E+00,4.83E+02,4.90E+01,,,1.36E-05,4.32E+01,4.02E+01,,,8.46E-04,1.53E+01,8.21E+00
,,,,,,,3.41E+00,1.26E-01,0.00E+00,7.37E+02,1.02E+02,,,2.15E-05,5.18E+01,4.64E+01,,,1.14E-03,1.83E+01,1.08E+01
Two isotherms - Two corresponding kernels,,,,,,,3.50E+00,1.54E-01,0.00E+00,8.79E+02,1.75E+02,,,3.13E-05,6.05E+01,5.79E+01,,,2.00E-03,2.49E+01,1.75E+01
,,,,,,,3.59E+00,1.65E-01,-1.94E-03,9.22E+02,2.57E+02,,,4.30E-05,6.91E+01,6.75E+01,,,2.88E-03,2.98E+01,2.30E+01
Sample (ID),,002-591-O2_full-NC09-800_1 ,,,,,3.68E+00,1.63E-01,1.34E-02,8.84E+02,3.41E+02,,,5.70E-05,7.77E+01,8.03E+01,,,3.89E-03,3.41E+01,2.82E+01
,,,,,,,3.78E+00,1.47E-01,2.83E-02,7.80E+02,4.21E+02,,,7.28E-05,8.64E+01,9.19E+01,,,4.89E-03,3.77E+01,3.24E+01
