,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit
SAIEUS NLDFT ANALYSIS,,,,,,,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,1.38E-07,8.05E+00,2.69E+01,,,6.71E-05,1.64E+00,7.82E-01
,,,,,,,3.08E+00,1.89E-03,3.71E-05,1.23E+01,2.42E-01,,,1.68E-06,1.61E+01,3.10E+01,,,1.41E-04,3.29E+00,1.64E+00
,,,,,,,3.16E+00,1.56E-02,5.84E-04,9.88E+01,5.59E+00,,,4.66E-06,2.41E+01,3.27E+01,,,2.22E-04,4.94E+00,2.56E+00
,,,,,,,3.24E+00,4.80E-02,3.00E-03,2.96E+02,2.07E+01,,,9.11E-06,3.22E+01,3.45E+01,,,3.11E-04,6.61E+00,3.58E+00
,,,,,,,3.32E+00,9.32E-02,9.18E-03,5.61E+02,5.71E+01,,,1.49E-05,4.03E+01,3.70E+01,,,4.08E-04,8.26E+00,4.68E+00
,,,,,,,3.41E+00,1.46E-01,1.96E-02,8.55E+02,1.19E+02,,,2.18E-05,4.83E+01,4.07E+01,,,5.15E-04,9.90E+00,5.86E+00
Two isotherms - Two corresponding kernels,,,,,,,3.50E+00,1.77E-01,3.40E-02,1.01E+03,2.03E+02,,,3.01E-05,5.64E+01,4.98E+01,,,6.32E-04,1.15E+01,7.13E+00
,,,,,,,3.59E+00,1.88E-01,5.07E-02,1.05E+03,2.97E+02,,,3.96E-05,6.45E+01,5.98E+01,,,7.60E-04,1.32E+01,8.49E+00
Sample (ID),,002-658-O2_full-SA05-250-800_5 ,,,,,3.68E+00,1.83E-01,6.81E-02,9.96E+02,3.92E+02,,,5.02E-05,7.25E+01,7.09E+01,,,8.99E-04,1.48E+01,9.93E+00
,,,,,,,3.78E+00,1.64E-01,8.48E-02,8.70E+02,4.82E+02,,,6.06E-05,8.06E+01,8.74E+01,,,1.05E-03,1.64E+01,1.15E+01
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E140 C-O2 -77-het.model,,,,,3.87E+00,1.36E-01,9.95E-02,7.02E+02,5.59E+02,,,7.11E-05,8.87E+01,9.97E+01,,,1.92E-03,2.38E+01,1.93E+01
,,,,,,,3.97E+00,1.05E-01,1.12E-01,5.27E+02,6.20E+02,,,8.25E-05,9.67E+01,1.11E+02,,,2.94E-03,3.00E+01,2.67E+01
Sample(ID2),,002-663-H2_full-SA05-250-800-5 ,,,,,4.08E+00,7.43E-02,1.21E-01,3.64E+02,6.66E+02,,,9.47E-05,1.05E+02,1.21E+02,,,4.28E-03,3.63E+01,3.42E+01
,,,,,,,4.18E+00,4.72E-02,1.27E-01,2.25E+02,6.97E+02,,,1.08E-04,1.13E+02,1.30E+02,,,4.83E-03,3.85E+01,3.68E+01
Selected(Model2),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E150 C-H2 -77-het .model,,,,,4.29E+00,2.62E-02,1.31E-01,1.22E+02,7.15E+02,,,1.21E-04,1.21E+02,1.38E+02,,,5.81E-03,4.20E+01,4.09E+01
,,,,,,,4.40E+00,1.17E-02,1.33E-01,5.32E+01,7.25E+02,,,1.34E-04,1.29E+02,1.45E+02,,,6.87E-03,4.53E+01,4.47E+01
Lambda,,4,,,,,4.52E+00,3.71E-03,1.34E-01,1.64E+01,7.29E+02,,,1.46E-04,1.37E+02,1.49E+02,,,7.69E-03,4.77E+01,4.73E+01
,,,,,,,4.63E+00,4.00E-04,1.34E-01,1.73E+00,7.29E+02,,,1.61E-04,1.45E+02,1.55E+02,,,8.67E-03,5.02E+01,5.01E+01
St Dev of Fit,,6.571416022,,,,,4.75E+00,1.43E-04,1.34E-01,6.01E-01,7.30E+02,,,1.73E-04,1.53E+02,1.59E+02,,,9.71E-03,5.27E+01,5.28E+01
,,,,,,,4.88E+00,3.04E-05,1.34E-01,1.25E-01,7.30E+02,,,1.88E-04,1.61E+02,1.65E+02,,,2.02E-02,7.07E+01,7.13E+01
,,,,,,,5.00E+00,0.00E+00,1.34E-01,0.00E+00,7.30E+02,,,1.99E-04,1.69E+02,1.67E+02,,,2.94E-02,8.12E+01,8.15E+01
,,,,,,,5.13E+00,0.00E+00,1.34E-01,0.00E+00,7.30E+02,,,2.18E-04,1.78E+02,1.71E+02,,,4.26E-02,9.25E+01,9.23E+01
,,,,,,,5.27E+00,0.00E+00,1.34E-01,0.00E+00,7.30E+02,,,2.42E-04,1.86E+02,1.76E+02,,,4.98E-02,9.74E+01,9.70E+01
,,,,,,,5.40E+00,0.00E+00,1.34E-01,0.00E+00,7.30E+02,,,2.64E-04,1.94E+02,1.82E+02,,,6.06E-02,1.04E+02,1.03E+02
,,,,,,,5.54E+00,5.16E-06,1.34E-01,1.86E-02,7.30E+02,,,2.96E-04,2.02E+02,1.88E+02,,,6.84E-02,1.08E+02,1.07E+02
,,,,,,,5.69E+00,2.78E-06,1.34E-01,9.78E-03,7.30E+02,,,3.37E-04,2.10E+02,1.95E+02,,,7.96E-02,1.13E+02,1.11E+02
,,,,,,,5.83E+00,1.63E-04,1.34E-01,5.59E-01,7.30E+02,,,3.98E-04,2.18E+02,2.02E+02,,,8.96E-02,1.17E+02,1.15E+02
,,,,,,,5.99E+00,8.40E-04,1.34E-01,2.81E+00,7.30E+02,,,4.76E-04,2.26E+02,2.11E+02,,,9.96E-02,1.21E+02,1.19E+02
,,,,,,,6.14E+00,2.68E-03,1.34E-01,8.72E+00,7.31E+02,,,5.91E-04,2.34E+02,2.18E+02,,,1.45E-01,1.35E+02,1.31E+02
,,,,,,,6.30E+00,6.72E-03,1.35E-01,2.13E+01,7.33E+02,,,7.62E-04,2.42E+02,2.29E+02,,,2.01E-01,1.48E+02,1.42E+02
,,,,,,,6.46E+00,1.35E-02,1.37E-01,4.17E+01,7.38E+02,,,1.02E-03,2.50E+02,2.39E+02,,,2.57E-01,1.58E+02,1.52E+02
,,,,,,,6.63E+00,2.31E-02,1.40E-01,6.98E+01,7.47E+02,,,1.92E-03,2.64E+02,2.64E+02,,,3.13E-01,1.65E+02,1.60E+02
,,,,,,,6.80E+00,3.60E-02,1.45E-01,1.06E+02,7.62E+02,,,2.87E-03,2.73E+02,2.79E+02,,,3.63E-01,1.71E+02,1.66E+02
,,,,,,,6.98E+00,5.18E-02,1.53E-01,1.48E+02,7.85E+02,,,4.10E-03,2.80E+02,2.85E+02,,,3.99E-01,1.75E+02,1.70E+02
,,,,,,,7.16E+00,6.99E-02,1.64E-01,1.95E+02,8.16E+02,,,4.87E-03,2.83E+02,2.89E+02,,,4.50E-01,1.79E+02,1.76E+02
,,,,,,,7.34E+00,8.94E-02,1.78E-01,2.43E+02,8.56E+02,,,5.76E-03,2.86E+02,2.91E+02,,,5.00E-01,1.83E+02,1.80E+02
,,,,,,,7.53E+00,1.08E-01,1.97E-01,2.88E+02,9.07E+02,,,6.76E-03,2.89E+02,2.94E+02,,,5.50E-01,1.87E+02,1.85E+02
