,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
SAIEUS NLDFT ANALYSIS,,,,,,,3.600000e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.700100e-007,9.470620e+000,1.249185e+001,,,,,,
,,,,,,,3.689911e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,3.628170e-007,1.888710e+001,1.966033e+001,,,,,,
,,,,,,,3.782067e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,6.788240e-007,2.840800e+001,2.920464e+001,,,,,,
,,,,,,,3.876524e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.126760e-006,3.790770e+001,3.894060e+001,,,,,,
,,,,,,,3.973341e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,1.689130e-006,4.736060e+001,4.733911e+001,,,,,,
,,,,,,,4.072576e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,2.373190e-006,5.682280e+001,5.604557e+001,,,,,,
,,,,,,,4.174289e+000,0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000,,,3.210580e-006,6.626260e+001,6.543238e+001,,,,,,
,,,,,,,4.278543e+000,0.000000e+000,1.658317e-006,0.000000e+000,-8.455121e-002,,,4.245080e-006,7.573760e+001,7.516166e+001,,,,,,
Sample (ID),,AC2700-400 ,,,,,4.385400e+000,7.775550e-006,6.470494e-008,3.546107e-002,-9.198106e-002,,,5.454440e-006,8.519560e+001,8.479158e+001,,,,,,
,,,,,,,4.494926e+000,1.108238e-003,2.794391e-006,4.931061e+000,1.187527e-002,,,6.929030e-006,9.464370e+001,9.503439e+001,,,,,,
Selected(Model1),,C:\Users\pcxtsbl\SAIEUS\Models\Carbons\3E100 C-N2-77-het_.model,,,,,4.607187e+000,3.126759e-003,2.046987e-004,1.357339e+001,8.971515e-001,,,8.570680e-006,1.041590e+002,1.042112e+002,,,,,,
,,,,,,,4.722253e+000,8.866726e-003,8.618673e-004,3.755295e+001,3.709079e+000,,,1.041530e-005,1.136810e+002,1.115965e+002,,,,,,
,,,,,,,4.840192e+000,1.813346e-002,2.415143e-003,7.492870e+001,1.025996e+001,,,1.264170e-005,1.232480e+002,1.194133e+002,,,,,,
,,,,,,,4.961076e+000,3.031778e-002,5.312727e-003,1.222226e+002,2.207352e+001,,,1.531220e-005,1.328020e+002,1.300797e+002,,,,,,
,,,,,,,5.084980e+000,4.517087e-002,9.972690e-003,1.776639e+002,4.061377e+001,,,1.854070e-005,1.423710e+002,1.393625e+002,,,,,,
,,,,,,,5.211978e+000,6.137033e-002,1.673441e-002,2.354973e+002,6.687776e+001,,,2.242670e-005,1.519760e+002,1.511712e+002,,,,,,
Lambda,,2.5,,,,,5.342148e+000,7.769529e-002,2.579478e-002,2.908766e+002,1.012016e+002,,,2.692210e-005,1.614310e+002,1.619316e+002,,,,,,
,,,,,,,5.475569e+000,9.283175e-002,3.720373e-002,3.390762e+002,1.433356e+002,,,3.220810e-005,1.709190e+002,1.712185e+002,,,,,,
St Dev of Fit,,2.19513907214018,,,,,5.612322e+000,1.058874e-001,5.083107e-002,3.773391e+002,1.924860e+002,,,3.836570e-005,1.803260e+002,1.821339e+002,,,,,,
,,,,,,,5.752491e+000,1.156201e-001,6.639881e-002,4.019826e+002,2.472717e+002,,,4.566030e-005,1.898120e+002,1.915654e+002,,,,,,
,,,,,,,5.896160e+000,1.216929e-001,8.349534e-002,4.127870e+002,3.059127e+002,,,5.399120e-005,1.992120e+002,2.021290e+002,,,,,,
,,,,,,,6.043417e+000,1.239281e-001,1.016304e-001,4.101258e+002,3.666697e+002,,,6.373730e-005,2.085930e+002,2.115514e+002,,,,,,
,,,,,,,6.194353e+000,1.223741e-001,1.202760e-001,3.951150e+002,4.275775e+002,,,7.508520e-005,2.180350e+002,2.214235e+002,,,,,,
,,,,,,,6.349058e+000,1.182470e-001,1.389249e-001,3.724868e+002,4.870548e+002,,,8.814640e-005,2.274410e+002,2.306986e+002,,,,,,
,,,,,,,6.507626e+000,1.118972e-001,1.571901e-001,3.438956e+002,5.438911e+002,,,1.035920e-004,2.369000e+002,2.400454e+002,,,,,,
,,,,,,,6.670155e+000,1.046455e-001,1.747883e-001,3.137722e+002,5.973240e+002,,,1.212270e-004,2.463040e+002,2.489486e+002,,,,,,
,,,,,,,6.836743e+000,9.767543e-002,1.916260e-001,2.857367e+002,6.471977e+002,,,1.422830e-004,2.556490e+002,2.579794e+002,,,,,,
,,,,,,,7.007492e+000,9.232204e-002,2.077816e-001,2.634952e+002,6.939357e+002,,,1.673250e-004,2.651600e+002,2.669442e+002,,,,,,
,,,,,,,7.182505e+000,8.865846e-002,2.235688e-001,2.468734e+002,7.384441e+002,,,1.965460e-004,2.746340e+002,2.754437e+002,,,,,,
,,,,,,,7.361889e+000,8.823017e-002,2.393871e-001,2.396944e+002,7.819501e+002,,,2.324820e-004,2.840990e+002,2.839071e+002,,,,,,
,,,,,,,7.545754e+000,9.097747e-002,2.558033e-001,2.411355e+002,8.260746e+002,,,2.758680e-004,2.935640e+002,2.926131e+002,,,,,,
,,,,,,,7.734210e+000,9.640284e-002,2.734115e-001,2.492894e+002,8.721662e+002,,,3.289260e-004,3.030090e+002,3.008874e+002,,,,,,
,,,,,,,7.927373e+000,1.042567e-001,2.927678e-001,2.630296e+002,9.215972e+002,,,3.950210e-004,3.123830e+002,3.089786e+002,,,,,,
,,,,,,,8.125361e+000,1.130623e-001,3.142802e-001,2.782949e+002,9.752107e+002,,,6.467530e-004,3.359580e+002,3.300087e+002,,,,,,
,,,,,,,8.328293e+000,1.214593e-001,3.380977e-001,2.916787e+002,1.033107e+003,,,1.111790e-003,3.590400e+002,3.521826e+002,,,,,,
,,,,,,,8.536293e+000,1.279281e-001,3.641031e-001,2.997275e+002,1.094708e+003,,,1.967910e-003,3.813020e+002,3.760570e+002,,,,,,
,,,,,,,8.749488e+000,1.316099e-001,3.918460e-001,3.008403e+002,1.158905e+003,,,3.418290e-003,4.020380e+002,4.038319e+002,,,,,,
,,,,,,,8.968008e+000,1.311218e-001,4.206266e-001,2.924213e+002,1.223886e+003,,,5.586390e-003,4.209150e+002,4.262477e+002,,,,,,
,,,,,,,9.191985e+000,1.265692e-001,4.495601e-001,2.753904e+002,1.287552e+003,,,8.549880e-003,4.382760e+002,4.417209e+002,,,,,,
,,,,,,,9.421557e+000,1.181711e-001,4.777217e-001,2.508527e+002,1.348083e+003,,,1.220240e-002,4.541650e+002,4.542774e+002,,,,,,
,,,,,,,9.656861e+000,1.065572e-001,5.042152e-001,2.206869e+002,1.403627e+003,,,1.652830e-002,4.683670e+002,4.645352e+002,,,,,,
,,,,,,,9.898043e+000,9.311206e-002,5.283173e-001,1.881424e+002,1.452944e+003,,,2.138040e-002,4.810980e+002,4.792666e+002,,,,,,
,,,,,,,1.014525e+001,7.883287e-002,5.495663e-001,1.554085e+002,1.495367e+003,,,2.687600e-002,4.928160e+002,4.945204e+002,,,,,,
,,,,,,,1.039863e+001,6.503818e-002,5.677594e-001,1.250899e+002,1.530848e+003,,,3.287100e-002,5.034150e+002,5.046192e+002,,,,,,
,,,,,,,1.065833e+001,5.281721e-002,5.830083e-001,9.910968e+001,1.559828e+003,,,3.926660e-002,5.127560e+002,5.125122e+002,,,,,,
,,,,,,,1.092453e+001,4.326545e-002,5.956790e-001,7.920790e+001,1.583378e+003,,,4.622880e-002,5.212890e+002,5.212332e+002,,,,,,
,,,,,,,1.119737e+001,3.589464e-002,6.063941e-001,6.411263e+001,1.602761e+003,,,5.369690e-002,5.288700e+002,5.307303e+002,,,,,,
,,,,,,,1.147703e+001,3.165192e-002,6.157725e-001,5.515700e+001,1.619310e+003,,,6.136440e-002,5.354200e+002,5.364703e+002,,,,,,
,,,,,,,1.176367e+001,2.981152e-002,6.245295e-001,5.068405e+001,1.634394e+003,,,6.969000e-002,5.414080e+002,5.401935e+002,,,,,,
,,,,,,,1.205747e+001,2.966661e-002,6.332316e-001,4.920870e+001,1.649007e+003,,,7.827620e-002,5.466090e+002,5.446401e+002,,,,,,
,,,,,,,1.235860e+001,3.057637e-002,6.422857e-001,4.948192e+001,1.663840e+003,,,8.717200e-002,5.511920e+002,5.500866e+002,,,,,,
,,,,,,,1.266726e+001,3.182200e-002,6.519168e-001,5.024291e+001,1.679194e+003,,,9.624630e-002,5.551850e+002,5.556424e+002,,,,,,
,,,,,,,1.298363e+001,3.280223e-002,6.621524e-001,5.052860e+001,1.695156e+003,,,1.504770e-001,5.712090e+002,5.721406e+002,,,,,,
,,,,,,,1.330790e+001,3.334231e-002,6.728891e-001,5.010906e+001,1.711487e+003,,,2.023790e-001,5.807740e+002,5.810420e+002,,,,,,
